id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
427224.0,73.0,Goal,0.9059999847412108,0.479000015258789,0.5441139936447144,Arturo Vidal,h,222.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Nicolò Barella,Pass
427225.0,75.0,SavedShot,0.93,0.6840000152587891,0.0837700963020324,Federico Dimarco,h,1324.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Hakan Calhanoglu,Pass
427229.0,86.0,Goal,0.91,0.545,0.314395010471344,Edin Dzeko,h,1253.0,OpenPlay,2021.0,Head,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Arturo Vidal,Chipped
427205.0,8.0,MissedShots,0.8780000305175781,0.654000015258789,0.1028390005230903,Yayah Kallon,a,9550.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Nicolo Rovella,Throughball
427213.0,44.0,BlockedShot,0.86,0.4329999923706055,0.0898208022117614,Goran Pandev,a,1115.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Milan Badelj,Pass
427214.0,44.0,MissedShots,0.9009999847412108,0.5509999847412109,0.35343798995018,Yayah Kallon,a,9550.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Milan Badelj,Pass
427215.0,46.0,SavedShot,0.8830000305175781,0.3220000076293945,0.0656123980879783,Yayah Kallon,a,9550.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Flavio Junior Bianchi,Pass
427217.0,56.0,SavedShot,0.865,0.5559999847412109,0.1015670001506805,Stefano Sabelli,a,1898.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Goran Pandev,Pass
427218.0,57.0,BlockedShot,0.8090000152587891,0.7080000305175781,0.0702008008956909,Nicolo Rovella,a,7411.0,DirectFreekick,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,,Standard
427219.0,61.0,MissedShots,0.705,0.514000015258789,0.0121855996549129,Nicolo Rovella,a,7411.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Domenico Criscito,Pass
427220.0,62.0,SavedShot,0.735,0.6,0.0402144007384777,Flavio Junior Bianchi,a,8589.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Goran Pandev,Pass
427226.0,78.0,BlockedShot,0.968000030517578,0.364000015258789,0.0324255004525184,Zinho Vanheusden,a,4897.0,SetPiece,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Filippo Melegoni,Cross
427227.0,81.0,SavedShot,0.7980000305175782,0.4059999847412109,0.0786603987216949,Flavio Junior Bianchi,a,8589.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Goran Pandev,Pass
427228.0,83.0,MissedShots,0.7909999847412109,0.2889999961853027,0.0202133003622293,Zinho Vanheusden,a,4897.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Milan Badelj,Pass
427356.0,8.0,BlockedShot,0.975999984741211,0.349000015258789,0.0593415983021259,Karol Linetty,h,1226.0,OpenPlay,2021.0,RightFoot,16758.0,Torino,Atalanta,1.0,2.0,2021-08-21 18:45:00,Antonio Sanabria,Pass
427357.0,12.0,SavedShot,0.885,0.5429999923706055,0.0511768013238906,Antonio Sanabria,h,2217.0,OpenPlay,2021.0,Head,16758.0,Torino,Atalanta,1.0,2.0,2021-08-21 18:45:00,Marko Pjaca,Cross
